repo_name,test_func,main_api,sec_op,var_type,var,scope,violated_path_num
kernel,partition_domain_translate,of_find_node_by_phandle,of_node_put,retval,np,Local,2
kernel,rockchip_pinctrl_parse_groups,of_find_node_by_phandle,of_node_put,retval,np_config,Local,3
kernel,mvebu_mbus_dt_init,of_find_node_by_phandle,of_node_put,retval,controller,Global,3
kernel,ls_extirq_parse_map,of_find_node_by_phandle,of_node_put,retval,ipar,Local,5
kernel,map_interrupts,of_find_node_by_phandle,of_node_put,retval,cpu_ictl,Local,2
kernel,pseries_devicetree_update,of_find_node_by_phandle,of_node_put,retval,np,Local,21
kernel,update_events_in_group,of_find_node_by_phandle,of_node_put,retval,pmu_events,Global,3
kernel,ti_sci_pm_domain_probe,of_find_node_with_property,of_node_put,retval,np,Local,7
kernel,ti_sci_scan_clocks_from_dt,of_find_node_with_property,of_node_put,retval,np,Local,8
kernel,sysc_add_named_clock_from_child,of_get_next_available_child,of_node_put,retval,child,Local,3
kernel,spi_byte_probe,of_get_next_available_child,of_node_put,retval,child,Local,5
kernel,lp8860_probe,of_get_next_available_child,of_node_put,retval,child_node,Local,6
kernel,p2wi_probe,of_get_next_available_child,of_node_put,retval,childnp,Local,19
kernel,omap_mbox_probe,of_get_next_available_child,of_node_put,retval,child,Local,13
kernel,dlpar_detach_node,of_get_next_child,of_node_put,retval,child,Local,2
kernel,mc_pcie_init_irq_domains,of_get_next_child,of_node_put,retval,pcie_intc_node,Local,3
kernel,get_gpio,of_get_next_child,of_node_put,retval,np,Local,3
kernel,rpcif_hb_probe,of_get_next_child,of_node_put,retval,hyperbus->hbdev.np,Global,2
kernel,tegra_nand_chips_init,of_get_next_child,of_node_put,retval,np_nand,Local,6
kernel,__graph_for_each_link,of_get_next_child,of_node_put,retval,cpu_ep,Para,4
kernel,of_get_display_timings,of_get_next_child,of_node_put,retval,entry,Local,3
kernel,am654_hbmc_probe,of_get_next_child,of_node_put,retval,priv->hbdev.np,Global,17
kernel,rockchip_gpiolib_register,of_get_parent,of_node_put,retval,pctlnp,Global,4
kernel,add_legacy_soc_port,of_get_parent,of_node_put,retval,tsi,Global,7
kernel,xemaclite_mdio_setup,of_get_parent,of_node_put,retval,np,Global,3
kernel,meson_aoclkc_probe,of_get_parent,of_node_put,retval,,Global,2
kernel,rockchip_gpio_probe,of_get_parent,of_node_put,retval,pctlnp,Global,5
kernel,berlin2q_clock_setup,of_get_parent,of_node_put,retval,parent_np,Global,3
kernel,of_syscon_icst_setup,of_get_parent,of_node_put,retval,parent,Local,11
kernel,berlin2_clock_setup,of_get_parent,of_node_put,retval,parent_np,Global,2
kernel,of_get_coresight_platform_data,of_graph_get_next_endpoint,of_node_put,retval,ep,Local,2
kernel,clcdfb_of_init_display,of_graph_get_next_endpoint,of_node_put,retval,endpoint,Local,6
kernel,sii8620_extcon_init,of_graph_get_remote_node,of_node_put,retval,musb,Local,3
kernel,anx7625_parse_dt,of_graph_get_remote_node,of_node_put,retval,pdata->mipi_host_node,Global,4
kernel,mdp4_modeset_init_intf,of_graph_get_remote_node,of_node_put,retval,panel_node,Local,2
kernel,ovl_verify_fh,ovl_get_fh,kfree,retval,ofh,Global,2
kernel,mhi_pci_probe,pci_store_saved_state,kfree,retval,mhi_pdev->pci_state,Global,3
kernel,g5_neo2_cpufreq_init,pmf_find_function,pmf_put_function,retval,pfunc_set_vdnap0,Global,2
kernel,mptsas_probe_one_phy,sas_port_alloc_num,sas_port_free,retval,port,Local,33
kernel,mptspi_write_spi_device_pg1,scsi_device_lookup_by_target,scsi_device_put,retval,sdev,Local,2
kernel,etnaviv_ioctl_gem_submit,sync_file_get_fence,dma_fence_put,retval,submit->in_fence,Global,8
kernel,tipc_crypto_rcv,tipc_aead_get,tipc_aead_put,retval,aead,Local,4
kernel,tipc_crypto_xmit,tipc_aead_get,tipc_aead_put,retval,aead,Local,2
kernel,typec_register_port,typec_mux_get,typec_mux_put,retval,port->mux,Global,2
kernel,__blkdev_direct_IO,bio_get,bio_put,arg0,bio,Local,4
kernel,gadgetfs_bind,usb_ep_alloc_request,usb_ep_free_request,retval,dev->req,Global,2
kernel,u_audio_start_capture,usb_ep_alloc_request,usb_ep_free_request,retval,req_fback,Global,2
kernel,f_audio_set_alt,usb_ep_alloc_request,usb_ep_free_request,retval,req,Local,3
kernel,lms283gf05_probe,gpiod_get_optional,gpiod_put,retval,st->reset,Global,2
kernel,rk3328_platform_probe,gpiod_get_optional,gpiod_put,retval,rk3328->mute,Global,8
kernel,wm8994_ldo_probe,gpiod_get_optional,gpiod_put,retval,gpiod,Local,3
kernel,sa1100fb_probe,gpiod_get_optional,gpiod_put,retval,fbi->shannon_lcden,Global,3
kernel,max8952_pmic_probe,gpiod_get_optional,gpiod_put,retval,gpiod,Local,4
kernel,nvmem_register,gpiod_get_optional,gpiod_put,retval,nvmem->wp_gpio,Global,271
kernel,sis190_get_mac_addr_from_apc,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_SI,Global,2
kernel,get_all_munits,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,11
kernel,pasemi_nand_probe,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_PASEMI,Global,4
kernel,cr_backlight_probe,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,5
kernel,i7300_get_devices,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,i82975x_init,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,i3000_init,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,alim7101_wdt_init,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_AL,Global,10
kernel,i82443bxgx_edacmc_init,pci_get_device,pci_dev_put,arg0,id,Local,2
kernel,cr_pll_init,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,4
kernel,init_amd76xrom,pci_get_device,pci_dev_put,arg0,id,Local,2
kernel,cdnsp_get_second_fun,pci_get_device,pci_dev_put,arg0,pdev,Para,2
kernel,jmicron_probe,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_JMICRON,Global,4
kernel,e752x_get_devs,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,enable_arbiter_disable,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_VIA,Global,12
kernel,i82860_init,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,cdns3_get_second_fun,pci_get_device,pci_dev_put,arg0,pdev,Para,2
kernel,setup_ibs_ctl,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_AMD,Global,3
kernel,vmlfb_get_gpu,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,cs5530_init_chip,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_CYRIX,Global,6
kernel,amd_freq_sensitivity_init,pci_get_device,pci_dev_put,arg0,pci_vendor,Local,5
kernel,q_num_set,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_HUAWEI,Global,3
kernel,longhaul_setup_southbridge,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_VIA,Global,2
kernel,check_tylersburg_isoch,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,7
kernel,amd8111_pci_probe,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_AMD,Global,4
kernel,skx_get_hi_lo,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,4
kernel,init_ichxrom,pci_get_device,pci_dev_put,arg0,id,Local,2
kernel,viafb_get_fb_size_from_pci,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_VIA,Global,9
kernel,cgx_print_stats,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_CAVIUM,Global,15
kernel,i82875p_init,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,pci_amd_enable_64bit_bar,pci_get_device,pci_dev_put,arg0,dev,Para,15
kernel,oaktrail_hdmi_setup,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,4
kernel,snb_pci2phy_map_init,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,e7xxx_probe1,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,init_ck804xrom,pci_get_device,pci_dev_put,arg0,id,Local,3
kernel,i3200_init,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,ali_find_watchdog,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_AL,Global,6
kernel,i5400_get_devices,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,sis630e_get_mac_addr,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_SI,Global,2
kernel,amd8111_dev_probe,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_AMD,Global,4
kernel,init_esb2rom,pci_get_device,pci_dev_put,arg0,id,Local,3
kernel,dw_spi_dma_init_mfld,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,3
kernel,skx_get_all_bus_mappings,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,i82875p_setup_overfl_dev,pci_get_device,pci_dev_put,arg0,PCI_VEND_DEV,Global,7
kernel,snd_ali_create,pci_get_device,pci_dev_put,arg0,,Global,3
kernel,sad_cfg_iio_topology,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,sis5595_setup,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_SI,Global,15
kernel,ie31200_init,pci_get_device,pci_dev_put,arg0,ie31200_pci_tbl,Global,4
kernel,i5000_get_devices,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,x38_init,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,pasemi_mac_probe,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_PASEMI,Global,8
kernel,zt5550_hc_init_one,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_DEC,Global,3
kernel,amd_chipset_sb_type_init,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_ATI,Global,7
kernel,find_gmch,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,2
kernel,via_init_one,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_VIA,Global,12
kernel,init_l440gx,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,7
kernel,sis5595_pci_probe,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_SI,Global,12
kernel,init_pmc551,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_V3_SEMI,Global,8
kernel,sbridge_get_onedevice,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_INTEL,Global,8
kernel,sis630_setup,pci_get_device,pci_dev_put,arg0,PCI_VENDOR_ID_SI,Global,13
